subject_id	predicate_id	object_id	mondo_id	mondo_label	mondo_predicate_id	mapping_justification	gard_mondo_mapping_type
GARD:10024	oboInOwl:hasDbXref	MONDO:0010197	MONDO:0010197	whistling face syndrome, recessive form		semapv:ManualMappingCuration	direct_existing
GARD:10025	oboInOwl:hasDbXref	MONDO:0019503	MONDO:0019503	anterior segment dysgenesis		semapv:ManualMappingCuration	direct_existing
GARD:10027	oboInOwl:hasDbXref	MONDO:0007251	MONDO:0007251	campomelic dysplasia		semapv:ManualMappingCuration	direct_existing
GARD:10028	oboInOwl:hasDbXref	MONDO:0009469	MONDO:0009469	benign recurrent intrahepatic cholestasis type 1		semapv:ManualMappingCuration	direct_existing
GARD:10029	oboInOwl:hasDbXref	MONDO:0011559	MONDO:0011559	benign recurrent intrahepatic cholestasis type 2		semapv:ManualMappingCuration	direct_existing
GARD:10033	oboInOwl:hasDbXref	MONDO:0012053	MONDO:0012053	aneurysm, intracranial berry, 2		semapv:ManualMappingCuration	direct_existing
GARD:10034	oboInOwl:hasDbXref	MONDO:0007384	MONDO:0007384	congenital trigeminal anesthesia		semapv:ManualMappingCuration	direct_existing
GARD:10037	oboInOwl:hasDbXref	MONDO:0011412	MONDO:0011412	familial encephalopathy with neuroserpin inclusion bodies		semapv:ManualMappingCuration	direct_existing
GARD:10039	oboInOwl:hasDbXref	MONDO:0009372	MONDO:0009372	encephalopathy due to hydroxykynureninuria		semapv:ManualMappingCuration	direct_existing
GARD:10041	oboInOwl:hasDbXref	MONDO:0012064	MONDO:0012064	choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10043	oboInOwl:hasDbXref	MONDO:0011186	MONDO:0011186	Usher syndrome type 1F		semapv:ManualMappingCuration	direct_existing
GARD:10045	oboInOwl:hasDbXref	MONDO:0009339	MONDO:0009339	congenital bile acid synthesis defect 2		semapv:ManualMappingCuration	direct_existing
GARD:10046	oboInOwl:hasDbXref	MONDO:0008967	MONDO:0008967	congenital bile acid synthesis defect 4		semapv:ManualMappingCuration	direct_existing
GARD:10047	oboInOwl:hasDbXref	MONDO:0017909	MONDO:0017909	inherited glutathione synthetase deficiency		semapv:ManualMappingCuration	direct_existing
GARD:10048	oboInOwl:hasDbXref	MONDO:0019211	MONDO:0019211	isolated congenital anonychia		semapv:ManualMappingCuration	direct_existing
GARD:10049	oboInOwl:hasDbXref	MONDO:0008982	MONDO:0008982	central areolar choroidal dystrophy		semapv:ManualMappingCuration	direct_existing
GARD:10050	oboInOwl:hasDbXref	MONDO:0008865	MONDO:0008865	Bietti crystalline corneoretinal dystrophy		semapv:ManualMappingCuration	direct_existing
GARD:10051	oboInOwl:hasDbXref	MONDO:0011334	MONDO:0011334	limb-mammary syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10053	oboInOwl:hasDbXref	MONDO:0012296	MONDO:0012296	lipomyelomeningocele		semapv:ManualMappingCuration	direct_existing
GARD:10054	oboInOwl:hasDbXref	MONDO:0012282	MONDO:0012282	Al-Gazali syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10056	oboInOwl:hasDbXref	MONDO:0012516	MONDO:0012516	mandibulofacial dysostosis-microcephaly syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10057	oboInOwl:hasDbXref	MONDO:0012495	MONDO:0012495	spondyloepimetaphyseal dysplasia, Genevieve type		semapv:ManualMappingCuration	direct_existing
GARD:10061	oboInOwl:hasDbXref	MONDO:0012330	MONDO:0012330	talo-patello-scaphoid osteolysis		semapv:ManualMappingCuration	direct_existing
GARD:10066	oboInOwl:hasDbXref	MONDO:0012131	MONDO:0012131	metaphyseal undermodeling, spondylar dysplasia, and overgrowth		semapv:ManualMappingCuration	direct_existing
GARD:10070	oboInOwl:hasDbXref	MONDO:0007667	MONDO:0007667	subependymoma		semapv:ManualMappingCuration	direct_existing
GARD:10072	oboInOwl:hasDbXref	MONDO:0007205	MONDO:0007205	diaphyseal medullary stenosis-bone malignancy syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10075	oboInOwl:hasDbXref	MONDO:0011024	MONDO:0011024	dermatitis herpetiformis, familial		semapv:ManualMappingCuration	direct_existing
GARD:10081	oboInOwl:hasDbXref	MONDO:0010199	MONDO:0010199	white forelock with malformations		semapv:ManualMappingCuration	direct_existing
GARD:10082	oboInOwl:hasDbXref	MONDO:0010866	MONDO:0010866	infantile osteopetrosis with neuroaxonal dysplasia		semapv:ManualMappingCuration	direct_existing
GARD:10083	oboInOwl:hasDbXref	MONDO:0009338	MONDO:0009338	hepatic veno-occlusive disease-immunodeficiency syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10084	oboInOwl:hasDbXref	MONDO:0011723	MONDO:0011723	hemifacial myohyperplasia		semapv:ManualMappingCuration	direct_existing
GARD:10088	oboInOwl:hasDbXref	MONDO:0012316	MONDO:0012316	Majeed syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10089	oboInOwl:hasDbXref	MONDO:0010711	MONDO:0010711	TARP syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10090	oboInOwl:hasDbXref	MONDO:0011203	MONDO:0011203	Pierre Robin sequence with pectus excavatum and rib and scapular anomalies		semapv:ManualMappingCuration	direct_existing
GARD:10091	oboInOwl:hasDbXref	MONDO:0019349	MONDO:0019349	Sotos syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10092	oboInOwl:hasDbXref	MONDO:0019257	MONDO:0019257	hemochromatosis type 2		semapv:ManualMappingCuration	direct_existing
GARD:10093	oboInOwl:hasDbXref	MONDO:0011417	MONDO:0011417	hemochromatosis type 3		semapv:ManualMappingCuration	direct_existing
GARD:10094	oboInOwl:hasDbXref	MONDO:0011631	MONDO:0011631	hemochromatosis type 4		semapv:ManualMappingCuration	direct_existing
GARD:10095	oboInOwl:hasDbXref	MONDO:0011232	MONDO:0011232	migraine, familial hemiplegic, 2		semapv:ManualMappingCuration	direct_existing
GARD:10096	oboInOwl:hasDbXref	MONDO:0007888	MONDO:0007888	hereditary leiomyomatosis and renal cell cancer		semapv:ManualMappingCuration	direct_existing
GARD:10097	oboInOwl:hasDbXref	MONDO:0007887	MONDO:0007887	leiomyoma of vulva and esophagus		semapv:ManualMappingCuration	direct_existing
GARD:10099	oboInOwl:hasDbXref	MONDO:0009285	MONDO:0009285	gamma-glutamyl transpeptidase deficiency		semapv:ManualMappingCuration	direct_existing
GARD:101	oboInOwl:hasDbXref	MONDO:0018947	MONDO:0018947	centronuclear myopathy		semapv:ManualMappingCuration	direct_existing
GARD:10101	oboInOwl:hasDbXref	MONDO:0008469	MONDO:0008469	spondyloepimetaphyseal dysplasia-hypotrichosis syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10103	oboInOwl:hasDbXref	MONDO:0007529	MONDO:0007529	elastosis perforans serpiginosa		semapv:ManualMappingCuration	direct_existing
GARD:10104	oboInOwl:hasDbXref	MONDO:0008333	MONDO:0008333	pseudoxanthoma elasticum, forme fruste		semapv:ManualMappingCuration	direct_existing
GARD:10106	oboInOwl:hasDbXref	MONDO:0012859	MONDO:0012859	autosomal recessive osteopetrosis 7		semapv:ManualMappingCuration	direct_existing
GARD:10108	oboInOwl:hasDbXref	MONDO:0012157	MONDO:0012157	congenital myasthenic syndrome 4C		semapv:ManualMappingCuration	direct_existing
GARD:10109	oboInOwl:hasDbXref	MONDO:0016033	MONDO:0016033	Cornelia de Lange syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10111	oboInOwl:hasDbXref	MONDO:0008070	MONDO:0008070	nemaline myopathy 3		semapv:ManualMappingCuration	direct_existing
GARD:10116	oboInOwl:hasDbXref	MONDO:0011218	MONDO:0011218	autosomal recessive congenital ichthyosis 11		semapv:ManualMappingCuration	direct_existing
GARD:10118	oboInOwl:hasDbXref	MONDO:0019152	MONDO:0019152	Oguchi disease		semapv:ManualMappingCuration	direct_existing
GARD:10119	oboInOwl:hasDbXref	MONDO:0010567	MONDO:0010567	cone dystrophy, X-linked, with tapetal-like sheen		semapv:ManualMappingCuration	direct_existing
GARD:10120	oboInOwl:hasDbXref	MONDO:0007933	MONDO:0007933	vitelliform macular dystrophy 1		semapv:ManualMappingCuration	direct_existing
GARD:10121	oboInOwl:hasDbXref	MONDO:0012423	MONDO:0012423	MORM syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10123	oboInOwl:hasDbXref	MONDO:0010932	MONDO:0010932	progressive bifocal chorioretinal atrophy		semapv:ManualMappingCuration	direct_existing
GARD:10126	oboInOwl:hasDbXref	MONDO:0009261	MONDO:0009261	GM1 gangliosidosis type 2		semapv:ManualMappingCuration	direct_existing
GARD:10127	oboInOwl:hasDbXref	MONDO:0009223	MONDO:0009223	hypogonadotropic hypogonadism 23 with or without anosmia		semapv:ManualMappingCuration	direct_existing
GARD:10128	oboInOwl:hasDbXref	MONDO:0009239	MONDO:0009239	hypogonadotropic hypogonadism 24 without anosmia		semapv:ManualMappingCuration	direct_existing
GARD:10129	oboInOwl:hasDbXref	MONDO:0010139	MONDO:0010139	isolated thyroid-stimulating hormone deficiency		semapv:ManualMappingCuration	direct_existing
GARD:10130	oboInOwl:hasDbXref	MONDO:0011652	MONDO:0011652	Phelan-McDermid syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10131	oboInOwl:hasDbXref	MONDO:0011468	MONDO:0011468	hereditary motor and sensory neuropathy, Okinawa type		semapv:ManualMappingCuration	direct_existing
GARD:10132	oboInOwl:hasDbXref	MONDO:0011534	MONDO:0011534	Charcot-Marie-Tooth disease type 4G		semapv:ManualMappingCuration	direct_existing
GARD:10133	oboInOwl:hasDbXref	MONDO:0011585	MONDO:0011585	autosomal recessive distal spinal muscular atrophy 2		semapv:ManualMappingCuration	direct_existing
GARD:10138	oboInOwl:hasDbXref	MONDO:0007493	MONDO:0007493	torsion dystonia 4		semapv:ManualMappingCuration	direct_existing
GARD:10140	oboInOwl:hasDbXref	MONDO:0011510	MONDO:0011510	Bohring-Opitz syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10142	oboInOwl:hasDbXref	MONDO:0008147	MONDO:0008147	osteogenesis imperfecta type 2		semapv:ManualMappingCuration	direct_existing
GARD:10144	oboInOwl:hasDbXref	MONDO:0007442	MONDO:0007442	dentinogenesis imperfecta type 3		semapv:ManualMappingCuration	direct_existing
GARD:10145	oboInOwl:hasDbXref	MONDO:0012574	MONDO:0012574	Potocki-Lupski syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10147	oboInOwl:hasDbXref	MONDO:0007029	MONDO:0007029	branchio-oto-renal syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10148	oboInOwl:hasDbXref	MONDO:0018878	MONDO:0018878	branchiootic syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10149	oboInOwl:hasDbXref	MONDO:0008881	MONDO:0008881	kyphomelic dysplasia		semapv:ManualMappingCuration	direct_existing
GARD:10151	oboInOwl:hasDbXref	MONDO:0013059	MONDO:0013059	Aicardi-Goutieres syndrome 5		semapv:ManualMappingCuration	direct_existing
GARD:10152	oboInOwl:hasDbXref	MONDO:0012581	MONDO:0012581	osteogenesis imperfecta type 8		semapv:ManualMappingCuration	direct_existing
GARD:10153	oboInOwl:hasDbXref	MONDO:0009937	MONDO:0009937	pulmonary venoocclusive disease		semapv:ManualMappingCuration	direct_existing
GARD:10156	oboInOwl:hasDbXref	MONDO:0011331	MONDO:0011331	congenital chylothorax		semapv:ManualMappingCuration	direct_existing
GARD:10163	oboInOwl:hasDbXref	MONDO:0011883	MONDO:0011883	Curly hair - acral keratoderma - caries syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10167	oboInOwl:hasDbXref	MONDO:0011963	MONDO:0011963	Joubert syndrome 2		semapv:ManualMappingCuration	direct_existing
GARD:10168	oboInOwl:hasDbXref	MONDO:0016364	MONDO:0016364	Joubert syndrome with ocular defect		semapv:ManualMappingCuration	direct_existing
GARD:10169	oboInOwl:hasDbXref	MONDO:0012308	MONDO:0012308	Joubert syndrome with renal defect		semapv:ManualMappingCuration	direct_existing
GARD:1017	oboInOwl:hasDbXref	MONDO:0019019	MONDO:0019019	osteogenesis imperfecta		semapv:ManualMappingCuration	direct_existing
GARD:10173	oboInOwl:hasDbXref	MONDO:0019368	MONDO:0019368	florid cemento-osseous dysplasia		semapv:ManualMappingCuration	direct_existing
GARD:10175	oboInOwl:hasDbXref	MONDO:0003345	MONDO:0003345	hilar cholangiocarcinoma		semapv:ManualMappingCuration	direct_existing
GARD:10177	oboInOwl:hasDbXref	MONDO:0043330	MONDO:0043330	Mirizzi syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10179	oboInOwl:hasDbXref	MONDO:0011512	MONDO:0011512	Brooke-Spiegler syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10181	oboInOwl:hasDbXref	MONDO:0017387	MONDO:0017387	epithelioid sarcoma		semapv:ManualMappingCuration	direct_existing
GARD:10184	oboInOwl:hasDbXref	MONDO:0008494	MONDO:0008494	cryohydrocytosis		semapv:ManualMappingCuration	direct_existing
GARD:10188	oboInOwl:hasDbXref	MONDO:0010391	MONDO:0010391	angioma serpiginosum, X-linked		semapv:ManualMappingCuration	direct_existing
GARD:10189	oboInOwl:hasDbXref	MONDO:0007115	MONDO:0007115	angioma serpiginosum, autosomal dominant		semapv:ManualMappingCuration	direct_existing
GARD:1019	oboInOwl:hasDbXref	MONDO:0009242	MONDO:0009242	brittle cornea syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10190	oboInOwl:hasDbXref	MONDO:0011818	MONDO:0011818	isolated focal cortical dysplasia type II		semapv:ManualMappingCuration	direct_existing
GARD:10193	oboInOwl:hasDbXref	MONDO:0019475	MONDO:0019475	subcutaneous panniculitis-like T-cell lymphoma		semapv:ManualMappingCuration	direct_existing
GARD:10199	oboInOwl:hasDbXref	MONDO:0010698	MONDO:0010698	optic atrophy 2		semapv:ManualMappingCuration	direct_existing
GARD:102	oboInOwl:hasDbXref	MONDO:0000179	MONDO:0000179	Neu-Laxova syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10200	oboInOwl:hasDbXref	MONDO:0009786	MONDO:0009786	optic atrophy 6		semapv:ManualMappingCuration	direct_existing
GARD:10201	oboInOwl:hasDbXref	MONDO:0012543	MONDO:0012543	optic atrophy 5		semapv:ManualMappingCuration	direct_existing
GARD:10202	oboInOwl:hasDbXref	MONDO:0010886	MONDO:0010886	2q37 microdeletion syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10203	oboInOwl:hasDbXref	MONDO:0008133	MONDO:0008133	optic atrophy 3		semapv:ManualMappingCuration	direct_existing
GARD:10204	oboInOwl:hasDbXref	MONDO:0014434	MONDO:0014434	Bardet-Biedl syndrome 5		semapv:ManualMappingCuration	direct_existing
GARD:10205	oboInOwl:hasDbXref	MONDO:0011523	MONDO:0011523	Bardet-Biedl syndrome 6		semapv:ManualMappingCuration	direct_existing
GARD:10206	oboInOwl:hasDbXref	MONDO:0014435	MONDO:0014435	Bardet-Biedl syndrome 7		semapv:ManualMappingCuration	direct_existing
GARD:10207	oboInOwl:hasDbXref	MONDO:0014436	MONDO:0014436	Bardet-Biedl syndrome 8		semapv:ManualMappingCuration	direct_existing
GARD:10208	oboInOwl:hasDbXref	MONDO:0014437	MONDO:0014437	Bardet-Biedl syndrome 9		semapv:ManualMappingCuration	direct_existing
GARD:10209	oboInOwl:hasDbXref	MONDO:0014438	MONDO:0014438	Bardet-Biedl syndrome 10		semapv:ManualMappingCuration	direct_existing
GARD:10210	oboInOwl:hasDbXref	MONDO:0014439	MONDO:0014439	Bardet-Biedl syndrome 11		semapv:ManualMappingCuration	direct_existing
GARD:10211	oboInOwl:hasDbXref	MONDO:0014440	MONDO:0014440	Bardet-Biedl syndrome 12		semapv:ManualMappingCuration	direct_existing
GARD:10212	oboInOwl:hasDbXref	MONDO:0010020	MONDO:0010020	congenital generalized lipodystrophy type 2		semapv:ManualMappingCuration	direct_existing
GARD:10213	oboInOwl:hasDbXref	MONDO:0035525	MONDO:0035525	blepharophimosis-ptosis-epicanthus inversus syndrome type 2		semapv:ManualMappingCuration	direct_existing
GARD:10214	oboInOwl:hasDbXref	MONDO:0011601	MONDO:0011601	neonatal intrahepatic cholestasis due to citrin deficiency		semapv:ManualMappingCuration	direct_existing
GARD:10215	oboInOwl:hasDbXref	MONDO:0016603	MONDO:0016603	citrullinemia type II		semapv:ManualMappingCuration	direct_existing
GARD:10216	oboInOwl:hasDbXref	MONDO:0011504	MONDO:0011504	NDE1-related microhydranencephaly		semapv:ManualMappingCuration	direct_existing
GARD:10220	oboInOwl:hasDbXref	MONDO:0012206	MONDO:0012206	Czech dysplasia, metatarsal type		semapv:ManualMappingCuration	direct_existing
GARD:10221	oboInOwl:hasDbXref	MONDO:0007669	MONDO:0007669	renal cysts and diabetes syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10223	oboInOwl:hasDbXref	MONDO:0012648	MONDO:0012648	isobutyryl-CoA dehydrogenase deficiency		semapv:ManualMappingCuration	direct_existing
GARD:10224	oboInOwl:hasDbXref	MONDO:0019136	MONDO:0019136	Zygomycosis		semapv:ManualMappingCuration	direct_existing
GARD:10225	oboInOwl:hasDbXref	MONDO:0008082	MONDO:0008082	multiple endocrine neoplasia type 2B		semapv:ManualMappingCuration	direct_existing
GARD:10226	oboInOwl:hasDbXref	MONDO:0012637	MONDO:0012637	COG1-congenital disorder of glycosylation		semapv:ManualMappingCuration	direct_existing
GARD:10229	oboInOwl:hasDbXref	MONDO:0012215	MONDO:0012215	myofibrillar myopathy 3		semapv:ManualMappingCuration	direct_existing
GARD:10230	oboInOwl:hasDbXref	MONDO:0021569	MONDO:0021569	Emery-Dreifuss muscular dystrophy 2, autosomal dominant		semapv:ManualMappingCuration	direct_existing
GARD:10237	oboInOwl:hasDbXref	MONDO:0011841	MONDO:0011841	biotin-responsive basal ganglia disease		semapv:ManualMappingCuration	direct_existing
GARD:10238	oboInOwl:hasDbXref	MONDO:0013598	MONDO:0013598	myostatin-related muscle hypertrophy		semapv:ManualMappingCuration	direct_existing
GARD:10239	oboInOwl:hasDbXref	MONDO:0011273	MONDO:0011273	H syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10241	oboInOwl:hasDbXref	MONDO:0012529	MONDO:0012529	Diamond-Blackfan anemia 3		semapv:ManualMappingCuration	direct_existing
GARD:10244	oboInOwl:hasDbXref	MONDO:0009527	MONDO:0009527	lipase deficiency, combined		semapv:ManualMappingCuration	direct_existing
GARD:10247	oboInOwl:hasDbXref	MONDO:0008608	MONDO:0008608	Down syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10248	oboInOwl:hasDbXref	MONDO:0015878	MONDO:0015878	obsolete rare disease with autism		semapv:ManualMappingCuration	direct_existing
GARD:1025	oboInOwl:hasDbXref	MONDO:0016523	MONDO:0016523	bronchogenic cyst		semapv:ManualMappingCuration	direct_existing
GARD:10252	oboInOwl:hasDbXref	MONDO:0010030	MONDO:0010030	Sjogren syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10263	oboInOwl:hasDbXref	MONDO:0006248	MONDO:0006248	hydatidiform mole		semapv:ManualMappingCuration	direct_existing
GARD:10266	oboInOwl:hasDbXref	MONDO:0005620	MONDO:0005620	cerebral amyloid angiopathy		semapv:ManualMappingCuration	direct_existing
GARD:10267	oboInOwl:hasDbXref	MONDO:0009378	MONDO:0009378	hyper-beta-alaninemia		semapv:ManualMappingCuration	direct_existing
GARD:10277	oboInOwl:hasDbXref	MONDO:0008724	MONDO:0008724	adducted thumbs-arthrogryposis syndrome, Christian type		semapv:ManualMappingCuration	direct_existing
GARD:10280	oboInOwl:hasDbXref	MONDO:0016520	MONDO:0016520	obsolete isolated Klippel-Feil syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10281	oboInOwl:hasDbXref	MONDO:0008386	MONDO:0008386	Axenfeld-Rieger syndrome type 1		semapv:ManualMappingCuration	direct_existing
GARD:10283	oboInOwl:hasDbXref	MONDO:0011217	MONDO:0011217	desmosterolosis		semapv:ManualMappingCuration	direct_existing
GARD:10287	oboInOwl:hasDbXref	MONDO:0007295	MONDO:0007295	childhood epilepsy with centrotemporal spikes		semapv:ManualMappingCuration	direct_existing
GARD:10288	oboInOwl:hasDbXref	MONDO:0012545	MONDO:0012545	neutral lipid storage myopathy		semapv:ManualMappingCuration	direct_existing
GARD:1029	oboInOwl:hasDbXref	MONDO:0017195	MONDO:0017195	Bruck syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10290	oboInOwl:hasDbXref	MONDO:0011501	MONDO:0011501	wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia		semapv:ManualMappingCuration	direct_existing
GARD:10291	oboInOwl:hasDbXref	MONDO:0008097	MONDO:0008097	linear nevus sebaceous syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10294	oboInOwl:hasDbXref	MONDO:0012784	MONDO:0012784	autosomal recessive ataxia due to ubiquinone deficiency		semapv:ManualMappingCuration	direct_existing
GARD:10295	oboInOwl:hasDbXref	MONDO:0010408	MONDO:0010408	syndactyly-telecanthus-anogenital and renal malformations syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10296	oboInOwl:hasDbXref	MONDO:0012774	MONDO:0012774	chromosome 15q13.3 microdeletion syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10297	oboInOwl:hasDbXref	MONDO:0009274	MONDO:0009274	ghosal hematodiaphyseal dysplasia		semapv:ManualMappingCuration	direct_existing
GARD:10299	oboInOwl:hasDbXref	MONDO:0018923	MONDO:0018923	22q11.2 deletion syndrome		semapv:ManualMappingCuration	direct_existing
GARD:1030	oboInOwl:hasDbXref	MONDO:0015263	MONDO:0015263	Brugada syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10300	oboInOwl:hasDbXref	MONDO:0012739	MONDO:0012739	microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10301	oboInOwl:hasDbXref	MONDO:0012733	MONDO:0012733	autosomal recessive bestrophinopathy		semapv:ManualMappingCuration	direct_existing
GARD:10302	oboInOwl:hasDbXref	MONDO:0012734	MONDO:0012734	SERKAL syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10303	oboInOwl:hasDbXref	MONDO:0015311	MONDO:0015311	autism-facial port-wine stain syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10304	oboInOwl:hasDbXref	MONDO:0016659	MONDO:0016659	8p23.1 duplication syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10306	oboInOwl:hasDbXref	MONDO:0010356	MONDO:0010356	nephrogenic syndrome of inappropriate antidiuresis		semapv:ManualMappingCuration	direct_existing
GARD:10307	oboInOwl:hasDbXref	MONDO:0015286	MONDO:0015286	congenital disorder of glycosylation		semapv:ManualMappingCuration	direct_existing
GARD:10311	oboInOwl:hasDbXref	MONDO:0011888	MONDO:0011888	immunodeficiency 67		semapv:ManualMappingCuration	direct_existing
GARD:10312	oboInOwl:hasDbXref	MONDO:0008407	MONDO:0008407	neurogenic scapuloperoneal syndrome, Kaeser type		semapv:ManualMappingCuration	direct_existing
GARD:10313	oboInOwl:hasDbXref	MONDO:0008409	MONDO:0008409	congenital myopathy 7A, myosin storage, autosomal dominant		semapv:ManualMappingCuration	direct_existing
GARD:10314	oboInOwl:hasDbXref	MONDO:0008408	MONDO:0008408	scapuloperoneal spinal muscular atrophy, autosomal dominant		semapv:ManualMappingCuration	direct_existing
GARD:10316	oboInOwl:hasDbXref	MONDO:0009712	MONDO:0009712	congenital multicore myopathy with external ophthalmoplegia		semapv:ManualMappingCuration	direct_existing
GARD:10317	oboInOwl:hasDbXref	MONDO:0011246	MONDO:0011246	megaconial type congenital muscular dystrophy		semapv:ManualMappingCuration	direct_existing
GARD:10319	oboInOwl:hasDbXref	MONDO:0008312	MONDO:0008312	autosomal dominant prognathism		semapv:ManualMappingCuration	direct_existing
GARD:10320	oboInOwl:hasDbXref	MONDO:0012044	MONDO:0012044	corneal dystrophy, lattice type 3A		semapv:ManualMappingCuration	direct_existing
GARD:10321	oboInOwl:hasDbXref	MONDO:0009610	MONDO:0009610	3-methylglutaconic aciduria type 1		semapv:ManualMappingCuration	direct_existing
GARD:10322	oboInOwl:hasDbXref	MONDO:0012392	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency		semapv:ManualMappingCuration	direct_existing
GARD:10323	oboInOwl:hasDbXref	MONDO:0012996	MONDO:0012996	AGAT deficiency		semapv:ManualMappingCuration	direct_existing
GARD:10324	oboInOwl:hasDbXref	MONDO:0019258	MONDO:0019258	mild phenylketonuria		semapv:ManualMappingCuration	direct_existing
GARD:10327	oboInOwl:hasDbXref	MONDO:0014464	MONDO:0014464	progressive encephalopathy with leukodystrophy due to DECR deficiency		semapv:ManualMappingCuration	direct_existing
GARD:1033	oboInOwl:hasDbXref	MONDO:0010421	MONDO:0010421	Bruton-type agammaglobulinemia		semapv:ManualMappingCuration	direct_existing
