# creator_id: 0000-0002-2906-7319
# curie_map:
#   GARD: http://purl.obolibrary.org/obo/GARD_
#   Orphanet: http://www.orpha.net/ORDO/Orphanet_
#   OMIM: https://omim.org/entry/
#   OMIMPS: https://omim.org/phenotypicSeries/PS
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: http://w3id.org/sssom/license/unspecified
subject_id	subject_label	predicate_id	object_id	object_label	subject_category	object_category	object_source	mapping_justification
GARD:13	Aniridia-cerebellar ataxia-intellectual disability syndrome	skos:narrowMatch	OMIM:206700	Aniridia-cerebellar ataxia-intellectual disability syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:16	Ocular motor apraxia, Cogan type	skos:exactMatch	Orphanet:1125	Ocular motor apraxia, Cogan type	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:16	Ocular motor apraxia, Cogan type	skos:narrowMatch	OMIM:257550	Ocular motor apraxia, Cogan type	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:17	Arachnoid cyst	skos:exactMatch	Orphanet:2356	Arachnoid cyst	Morphological anomaly	Morphological anomaly	Orphanet	semapv:ManualMappingCuration
GARD:17	Arachnoid cyst	skos:narrowMatch	OMIM:182990	Arachnoid cyst	Morphological anomaly	Morphological anomaly	Orphanet	semapv:ManualMappingCuration
GARD:17	Arachnoid cyst	skos:narrowMatch	OMIM:207790	Arachnoid cyst	Morphological anomaly	Morphological anomaly	Orphanet	semapv:ManualMappingCuration
GARD:19	Dihydropyrimidine dehydrogenase deficiency	skos:exactMatch	Orphanet:1675	Dihydropyrimidine dehydrogenase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:19	Dihydropyrimidine dehydrogenase deficiency	skos:narrowMatch	OMIM:274270	Dihydropyrimidine dehydrogenase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:22	Björnstad syndrome	skos:exactMatch	Orphanet:123	Björnstad syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:22	Björnstad syndrome	skos:narrowMatch	OMIM:262000	Björnstad syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:23	Blepharophimosis-ptosis-epicanthus inversus syndrome	skos:exactMatch	Orphanet:126	Blepharophimosis-ptosis-epicanthus inversus syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:23	Blepharophimosis-ptosis-epicanthus inversus syndrome	skos:narrowMatch	OMIM:110100	Blepharophimosis-ptosis-epicanthus inversus syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:26	Cat-eye syndrome	skos:exactMatch	Orphanet:195	Cat-eye syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:26	Cat-eye syndrome	skos:narrowMatch	OMIM:115470	Cat-eye syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:27	Cat-scratch disease	skos:exactMatch	Orphanet:50839	Cat-scratch disease	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:28	Catel-Manzke syndrome	skos:exactMatch	Orphanet:1388	Catel-Manzke syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:28	Catel-Manzke syndrome	skos:narrowMatch	OMIM:616145	Catel-Manzke syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:29	CHARGE syndrome	skos:exactMatch	Orphanet:138	CHARGE syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:29	CHARGE syndrome	skos:narrowMatch	OMIM:214800	CHARGE syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:31	Serpiginous choroiditis	skos:exactMatch	Orphanet:35686	Serpiginous choroiditis	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:35	Tetrasomy 18p	skos:exactMatch	Orphanet:3307	Tetrasomy 18p	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:35	Tetrasomy 18p	skos:narrowMatch	OMIM:614290	Tetrasomy 18p	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:37	Partial deletion of the short arm of chromosome 3	skos:exactMatch	Orphanet:261875	Partial deletion of the short arm of chromosome 3	Category	Category	Orphanet	semapv:ManualMappingCuration
GARD:39	WT limb-blood syndrome	skos:exactMatch	Orphanet:3466	WT limb-blood syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:39	WT limb-blood syndrome	skos:narrowMatch	OMIM:194350	WT limb-blood syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:42	Tetrasomy 9p	skos:exactMatch	Orphanet:3310	Tetrasomy 9p	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:43	Mosaic trisomy 9	skos:exactMatch	Orphanet:99776	Mosaic trisomy 9	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:44	Haim-Munk syndrome	skos:exactMatch	Orphanet:2342	Haim-Munk syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:44	Haim-Munk syndrome	skos:narrowMatch	OMIM:245010	Haim-Munk syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:45	Congenital varicella syndrome	skos:exactMatch	Orphanet:291	Congenital varicella syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:47	Crigler-Najjar syndrome type 1	skos:exactMatch	Orphanet:79234	Crigler-Najjar syndrome type 1	Clinical subtype	Clinical subtype	Orphanet	semapv:ManualMappingCuration
GARD:47	Crigler-Najjar syndrome type 1	skos:narrowMatch	OMIM:218800	Crigler-Najjar syndrome type 1	Clinical subtype	Clinical subtype	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:exactMatch	Orphanet:254905	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619048	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619063	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:220110	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619064	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619355	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619051	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619058	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619059	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619060	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619052	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619046	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619053	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619054	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619061	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619055	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:48	Isolated cytochrome C oxidase deficiency	skos:narrowMatch	OMIM:619062	Isolated cytochrome C oxidase deficiency	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:49	De Barsy syndrome	skos:exactMatch	Orphanet:2962	De Barsy syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:49	De Barsy syndrome	skos:narrowMatch	OMIM:219150	De Barsy syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:49	De Barsy syndrome	skos:narrowMatch	OMIM:614438	De Barsy syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:54	Duodenal atresia	skos:exactMatch	Orphanet:1203	Duodenal atresia	Morphological anomaly	Morphological anomaly	Orphanet	semapv:ManualMappingCuration
GARD:54	Duodenal atresia	skos:narrowMatch	OMIM:223400	Duodenal atresia	Morphological anomaly	Morphological anomaly	Orphanet	semapv:ManualMappingCuration
GARD:59	Spinocerebellar ataxia type 34	skos:exactMatch	Orphanet:1955	Spinocerebellar ataxia type 34	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:59	Spinocerebellar ataxia type 34	skos:narrowMatch	OMIM:133190	Spinocerebellar ataxia type 34	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:60	Iridocorneal endothelial syndrome	skos:exactMatch	Orphanet:64734	Iridocorneal endothelial syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:61	Femoral-facial syndrome	skos:exactMatch	Orphanet:1988	Femoral-facial syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:61	Femoral-facial syndrome	skos:narrowMatch	OMIM:134780	Femoral-facial syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:62	Filippi syndrome	skos:exactMatch	Orphanet:3255	Filippi syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:62	Filippi syndrome	skos:narrowMatch	OMIM:272440	Filippi syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:64	Fountain syndrome	skos:exactMatch	Orphanet:3219	Fountain syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:64	Fountain syndrome	skos:narrowMatch	OMIM:229120	Fountain syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:65	Galloway-Mowat syndrome	skos:exactMatch	Orphanet:2065	Galloway-Mowat syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:65	Galloway-Mowat syndrome	skos:narrowMatch	OMIM:618348	Galloway-Mowat syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:65	Galloway-Mowat syndrome	skos:narrowMatch	OMIM:301006	Galloway-Mowat syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:65	Galloway-Mowat syndrome	skos:narrowMatch	OMIM:618349	Galloway-Mowat syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:65	Galloway-Mowat syndrome	skos:narrowMatch	OMIM:617731	Galloway-Mowat syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:65	Galloway-Mowat syndrome	skos:narrowMatch	OMIM:251300	Galloway-Mowat syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:65	Galloway-Mowat syndrome	skos:narrowMatch	OMIM:617729	Galloway-Mowat syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:65	Galloway-Mowat syndrome	skos:narrowMatch	OMIM:617730	Galloway-Mowat syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:65	Galloway-Mowat syndrome	skos:narrowMatch	OMIM:618347	Galloway-Mowat syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:66	Gorlin-Chaudhry-Moss syndrome	skos:exactMatch	Orphanet:2095	Gorlin-Chaudhry-Moss syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:66	Gorlin-Chaudhry-Moss syndrome	skos:narrowMatch	OMIM:612289	Gorlin-Chaudhry-Moss syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:68	Hypoglossia-hypodactyly syndrome	skos:exactMatch	Orphanet:989	Hypoglossia-hypodactyly syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:68	Hypoglossia-hypodactyly syndrome	skos:narrowMatch	OMIM:103300	Hypoglossia-hypodactyly syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:69	Hantavirus pulmonary syndrome	skos:exactMatch	Orphanet:319247	Hantavirus pulmonary syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:70	Kasabach-Merritt syndrome	skos:exactMatch	Orphanet:2330	Kasabach-Merritt syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:70	Kasabach-Merritt syndrome	skos:narrowMatch	OMIM:141000	Kasabach-Merritt syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:73	X-linked hyper-IgM syndrome	skos:exactMatch	Orphanet:101088	X-linked hyper-IgM syndrome	Clinical subtype	Clinical subtype	Orphanet	semapv:ManualMappingCuration
GARD:73	X-linked hyper-IgM syndrome	skos:narrowMatch	OMIM:308230	X-linked hyper-IgM syndrome	Clinical subtype	Clinical subtype	Orphanet	semapv:ManualMappingCuration
GARD:76	Hypohidrotic ectodermal dysplasia	skos:exactMatch	Orphanet:238468	Hypohidrotic ectodermal dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:76	Hypohidrotic ectodermal dysplasia	skos:narrowMatch	OMIM:224900	Hypohidrotic ectodermal dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:76	Hypohidrotic ectodermal dysplasia	skos:narrowMatch	OMIM:300291	Hypohidrotic ectodermal dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:76	Hypohidrotic ectodermal dysplasia	skos:narrowMatch	OMIM:305100	Hypohidrotic ectodermal dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:76	Hypohidrotic ectodermal dysplasia	skos:narrowMatch	OMIM:614940	Hypohidrotic ectodermal dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:76	Hypohidrotic ectodermal dysplasia	skos:narrowMatch	OMIM:614941	Hypohidrotic ectodermal dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:76	Hypohidrotic ectodermal dysplasia	skos:narrowMatch	OMIM:129490	Hypohidrotic ectodermal dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:76	Hypohidrotic ectodermal dysplasia	skos:narrowMatch	OMIM:612132	Hypohidrotic ectodermal dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:79	Metaphyseal chondrodysplasia, Jansen type	skos:exactMatch	Orphanet:33067	Metaphyseal chondrodysplasia, Jansen type	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:79	Metaphyseal chondrodysplasia, Jansen type	skos:narrowMatch	OMIM:156400	Metaphyseal chondrodysplasia, Jansen type	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:80	Johanson-Blizzard syndrome	skos:exactMatch	Orphanet:2315	Johanson-Blizzard syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:80	Johanson-Blizzard syndrome	skos:narrowMatch	OMIM:243800	Johanson-Blizzard syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:81	Intellectual developmental disorder, x-linked, syndromic, turner type	skos:exactMatch	OMIM:309590	Intellectual developmental disorder, x-linked, syndromic, turner type	Disease subtype	Disease subtype	Orphanet+OMIM	semapv:ManualMappingCuration
GARD:81	Intellectual developmental disorder, x-linked, syndromic, turner type	skos:broadMatch	Orphanet:528084	Intellectual developmental disorder, x-linked, syndromic, turner type	Disease subtype	Disease subtype	Orphanet+OMIM	semapv:ManualMappingCuration
GARD:82	KBG syndrome	skos:exactMatch	Orphanet:2332	KBG syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:82	KBG syndrome	skos:narrowMatch	OMIM:148050	KBG syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:83	Autosomal dominant Kenny-Caffey syndrome	skos:exactMatch	Orphanet:93325	Autosomal dominant Kenny-Caffey syndrome	Etiological subtype	Etiological subtype	Orphanet	semapv:ManualMappingCuration
GARD:83	Autosomal dominant Kenny-Caffey syndrome	skos:narrowMatch	OMIM:127000	Autosomal dominant Kenny-Caffey syndrome	Etiological subtype	Etiological subtype	Orphanet	semapv:ManualMappingCuration
GARD:84	Lipodystrophy, congenital generalized, type 1	skos:exactMatch	OMIM:608594	Lipodystrophy, congenital generalized, type 1	Disease subtype	Disease subtype	Orphanet+OMIM	semapv:ManualMappingCuration
GARD:84	Lipodystrophy, congenital generalized, type 1	skos:broadMatch	Orphanet:528	Lipodystrophy, congenital generalized, type 1	Disease subtype	Disease subtype	Orphanet+OMIM	semapv:ManualMappingCuration
GARD:85	Thanatophoric dysplasia	skos:exactMatch	Orphanet:2655	Thanatophoric dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:85	Thanatophoric dysplasia	skos:narrowMatch	OMIM:187601	Thanatophoric dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:85	Thanatophoric dysplasia	skos:narrowMatch	OMIM:187600	Thanatophoric dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:85	Thanatophoric dysplasia	skos:narrowMatch	OMIM:156830	Thanatophoric dysplasia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:86	Chudley-McCullough syndrome	skos:exactMatch	Orphanet:314597	Chudley-McCullough syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:86	Chudley-McCullough syndrome	skos:narrowMatch	OMIM:604213	Chudley-McCullough syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:87	Microphthalmia, Lenz type	skos:exactMatch	Orphanet:568	Microphthalmia, Lenz type	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:87	Microphthalmia, Lenz type	skos:narrowMatch	OMIM:300166	Microphthalmia, Lenz type	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:87	Microphthalmia, Lenz type	skos:narrowMatch	OMIM:309800	Microphthalmia, Lenz type	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:88	Leri pleonosteosis	skos:exactMatch	Orphanet:2900	Leri pleonosteosis	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:88	Leri pleonosteosis	skos:narrowMatch	OMIM:151200	Leri pleonosteosis	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:92	Mal de Meleda	skos:exactMatch	Orphanet:87503	Mal de Meleda	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:92	Mal de Meleda	skos:narrowMatch	OMIM:248300	Mal de Meleda	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:93	Monilethrix	skos:exactMatch	Orphanet:573	Monilethrix	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:93	Monilethrix	skos:narrowMatch	OMIM:158000	Monilethrix	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:94	Mucolipidosis type IV	skos:exactMatch	Orphanet:578	Mucolipidosis type IV	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:94	Mucolipidosis type IV	skos:narrowMatch	OMIM:252650	Mucolipidosis type IV	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:95	Mulibrey nanism	skos:exactMatch	Orphanet:2576	Mulibrey nanism	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:95	Mulibrey nanism	skos:narrowMatch	OMIM:253250	Mulibrey nanism	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:101	Centronuclear myopathy	skos:exactMatch	Orphanet:595	Centronuclear myopathy	Clinical group	Clinical group	Orphanet	semapv:ManualMappingCuration
GARD:102	Neu-Laxova syndrome	skos:exactMatch	Orphanet:2671	Neu-Laxova syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:102	Neu-Laxova syndrome	skos:narrowMatch	OMIM:256520	Neu-Laxova syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:102	Neu-Laxova syndrome	skos:narrowMatch	OMIM:616038	Neu-Laxova syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:104	Ochoa syndrome	skos:exactMatch	Orphanet:2704	Ochoa syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:104	Ochoa syndrome	skos:narrowMatch	OMIM:236730	Ochoa syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:104	Ochoa syndrome	skos:narrowMatch	OMIM:615112	Ochoa syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:105	Oculocerebral hypopigmentation syndrome, Cross type	skos:exactMatch	Orphanet:2719	Oculocerebral hypopigmentation syndrome, Cross type	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:105	Oculocerebral hypopigmentation syndrome, Cross type	skos:narrowMatch	OMIM:257800	Oculocerebral hypopigmentation syndrome, Cross type	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:106	Oculocerebrocutaneous syndrome	skos:exactMatch	Orphanet:1647	Oculocerebrocutaneous syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:106	Oculocerebrocutaneous syndrome	skos:narrowMatch	OMIM:164180	Oculocerebrocutaneous syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:108	Adult polyglucosan body disease	skos:exactMatch	Orphanet:206583	Adult polyglucosan body disease	Clinical subtype	Clinical subtype	Orphanet	semapv:ManualMappingCuration
GARD:108	Adult polyglucosan body disease	skos:narrowMatch	OMIM:263570	Adult polyglucosan body disease	Clinical subtype	Clinical subtype	Orphanet	semapv:ManualMappingCuration
GARD:109	Progressive osseous heteroplasia	skos:exactMatch	Orphanet:2762	Progressive osseous heteroplasia	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:109	Progressive osseous heteroplasia	skos:narrowMatch	OMIM:166350	Progressive osseous heteroplasia	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:111	Recurrent respiratory papillomatosis	skos:exactMatch	Orphanet:60032	Recurrent respiratory papillomatosis	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:112	Infant acute respiratory distress syndrome	skos:exactMatch	Orphanet:70587	Infant acute respiratory distress syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:112	Infant acute respiratory distress syndrome	skos:narrowMatch	OMIM:267450	Infant acute respiratory distress syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:114	X-linked Charcot-Marie-Tooth disease type 5	skos:exactMatch	Orphanet:99014	X-linked Charcot-Marie-Tooth disease type 5	Disease	Disease	Orphanet	semapv:ManualMappingCuration
