# creator_id: 0000-0002-2906-7319
# curie_map:
#   GARD: http://purl.obolibrary.org/obo/GARD_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: http://w3id.org/sssom/license/unspecified
subject_id	predicate_id	object_id	object_label	mapping_justification
GARD:10066	skos:exactMatch	MONDO:0012131	metaphyseal undermodeling, spondylar dysplasia, and overgrowth	semapv:ManualMappingCuration
GARD:10070	skos:exactMatch	MONDO:0007667	subependymoma	semapv:ManualMappingCuration
GARD:10072	skos:exactMatch	MONDO:0007205	diaphyseal medullary stenosis-bone malignancy syndrome	semapv:ManualMappingCuration
GARD:10075	skos:exactMatch	MONDO:0011024	dermatitis herpetiformis, familial	semapv:ManualMappingCuration
GARD:10081	skos:exactMatch	MONDO:0010199	white forelock with malformations	semapv:ManualMappingCuration
GARD:10082	skos:exactMatch	MONDO:0010866	infantile osteopetrosis with neuroaxonal dysplasia	semapv:ManualMappingCuration
GARD:10083	skos:exactMatch	MONDO:0009338	hepatic veno-occlusive disease-immunodeficiency syndrome	semapv:ManualMappingCuration
GARD:10084	skos:exactMatch	MONDO:0011723	hemifacial myohyperplasia	semapv:ManualMappingCuration
GARD:10088	skos:exactMatch	MONDO:0012316	Majeed syndrome	semapv:ManualMappingCuration
GARD:10089	skos:exactMatch	MONDO:0010711	TARP syndrome	semapv:ManualMappingCuration
GARD:10090	skos:exactMatch	MONDO:0011203	Pierre Robin sequence with pectus excavatum and rib and scapular anomalies	semapv:ManualMappingCuration
GARD:10091	skos:exactMatch	MONDO:0019349	Sotos syndrome	semapv:ManualMappingCuration
GARD:10092	skos:exactMatch	MONDO:0019257	hemochromatosis type 2	semapv:ManualMappingCuration
GARD:10093	skos:exactMatch	MONDO:0011417	hemochromatosis type 3	semapv:ManualMappingCuration
GARD:10094	skos:exactMatch	MONDO:0011631	hemochromatosis type 4	semapv:ManualMappingCuration
GARD:10095	skos:exactMatch	MONDO:0011232	migraine, familial hemiplegic, 2	semapv:ManualMappingCuration
GARD:10096	skos:exactMatch	MONDO:0007888	hereditary leiomyomatosis and renal cell cancer	semapv:ManualMappingCuration
GARD:10097	skos:exactMatch	MONDO:0007887	leiomyoma of vulva and esophagus	semapv:ManualMappingCuration
GARD:10099	skos:exactMatch	MONDO:0009285	gamma-glutamyl transpeptidase deficiency	semapv:ManualMappingCuration
GARD:101	skos:exactMatch	MONDO:0018947	centronuclear myopathy	semapv:ManualMappingCuration
GARD:10101	skos:exactMatch	MONDO:0008469	spondyloepimetaphyseal dysplasia-hypotrichosis syndrome	semapv:ManualMappingCuration
GARD:10103	skos:exactMatch	MONDO:0007529	elastosis perforans serpiginosa	semapv:ManualMappingCuration
GARD:10104	skos:exactMatch	MONDO:0008333	pseudoxanthoma elasticum, forme fruste	semapv:ManualMappingCuration
GARD:10106	skos:exactMatch	MONDO:0012859	autosomal recessive osteopetrosis 7	semapv:ManualMappingCuration
GARD:10108	skos:exactMatch	MONDO:0012157	congenital myasthenic syndrome 4C	semapv:ManualMappingCuration
GARD:10109	skos:exactMatch	MONDO:0016033	Cornelia de Lange syndrome	semapv:ManualMappingCuration
GARD:10111	skos:exactMatch	MONDO:0008070	nemaline myopathy 3	semapv:ManualMappingCuration
GARD:10116	skos:exactMatch	MONDO:0011218	autosomal recessive congenital ichthyosis 11	semapv:ManualMappingCuration
GARD:10118	skos:exactMatch	MONDO:0019152	Oguchi disease	semapv:ManualMappingCuration
GARD:10119	skos:exactMatch	MONDO:0010567	cone dystrophy, X-linked, with tapetal-like sheen	semapv:ManualMappingCuration
GARD:10120	skos:exactMatch	MONDO:0007933	vitelliform macular dystrophy 1	semapv:ManualMappingCuration
GARD:10121	skos:exactMatch	MONDO:0012423	MORM syndrome	semapv:ManualMappingCuration
GARD:10123	skos:exactMatch	MONDO:0010932	progressive bifocal chorioretinal atrophy	semapv:ManualMappingCuration
GARD:10126	skos:exactMatch	MONDO:0009261	GM1 gangliosidosis type 2	semapv:ManualMappingCuration
GARD:10127	skos:exactMatch	MONDO:0009223	hypogonadotropic hypogonadism 23 with or without anosmia	semapv:ManualMappingCuration
GARD:10128	skos:exactMatch	MONDO:0009239	hypogonadotropic hypogonadism 24 without anosmia	semapv:ManualMappingCuration
GARD:10129	skos:exactMatch	MONDO:0010139	isolated thyroid-stimulating hormone deficiency	semapv:ManualMappingCuration
GARD:10130	skos:exactMatch	MONDO:0011652	Phelan-McDermid syndrome	semapv:ManualMappingCuration
GARD:10131	skos:exactMatch	MONDO:0011468	hereditary motor and sensory neuropathy, Okinawa type	semapv:ManualMappingCuration
GARD:10132	skos:exactMatch	MONDO:0011534	Charcot-Marie-Tooth disease type 4G	semapv:ManualMappingCuration
GARD:10133	skos:exactMatch	MONDO:0011585	autosomal recessive distal spinal muscular atrophy 2	semapv:ManualMappingCuration
GARD:10138	skos:exactMatch	MONDO:0007493	torsion dystonia 4	semapv:ManualMappingCuration
GARD:10140	skos:exactMatch	MONDO:0011510	Bohring-Opitz syndrome	semapv:ManualMappingCuration
GARD:10142	skos:exactMatch	MONDO:0008147	osteogenesis imperfecta type 2	semapv:ManualMappingCuration
GARD:10144	skos:exactMatch	MONDO:0007442	dentinogenesis imperfecta type 3	semapv:ManualMappingCuration
GARD:10145	skos:exactMatch	MONDO:0012574	Potocki-Lupski syndrome	semapv:ManualMappingCuration
GARD:10147	skos:exactMatch	MONDO:0007029	branchio-oto-renal syndrome	semapv:ManualMappingCuration
GARD:10148	skos:exactMatch	MONDO:0018878	branchiootic syndrome	semapv:ManualMappingCuration
GARD:10149	skos:exactMatch	MONDO:0008881	kyphomelic dysplasia	semapv:ManualMappingCuration
GARD:10151	skos:exactMatch	MONDO:0013059	Aicardi-Goutieres syndrome 5	semapv:ManualMappingCuration
GARD:10152	skos:exactMatch	MONDO:0012581	osteogenesis imperfecta type 8	semapv:ManualMappingCuration
GARD:10153	skos:exactMatch	MONDO:0009937	pulmonary venoocclusive disease	semapv:ManualMappingCuration
GARD:10156	skos:exactMatch	MONDO:0011331	congenital chylothorax	semapv:ManualMappingCuration
GARD:10163	skos:exactMatch	MONDO:0011883	Curly hair - acral keratoderma - caries syndrome	semapv:ManualMappingCuration
GARD:10167	skos:exactMatch	MONDO:0011963	Joubert syndrome 2	semapv:ManualMappingCuration
GARD:10168	skos:exactMatch	MONDO:0016364	Joubert syndrome with ocular defect	semapv:ManualMappingCuration
GARD:10169	skos:exactMatch	MONDO:0012308	Joubert syndrome with renal defect	semapv:ManualMappingCuration
GARD:1017	skos:exactMatch	MONDO:0019019	osteogenesis imperfecta	semapv:ManualMappingCuration
GARD:10173	skos:exactMatch	MONDO:0019368	florid cemento-osseous dysplasia	semapv:ManualMappingCuration
GARD:10175	skos:exactMatch	MONDO:0003345	hilar cholangiocarcinoma	semapv:ManualMappingCuration
GARD:10177	skos:exactMatch	MONDO:0043330	Mirizzi syndrome	semapv:ManualMappingCuration
GARD:10179	skos:exactMatch	MONDO:0011512	Brooke-Spiegler syndrome	semapv:ManualMappingCuration
GARD:10181	skos:exactMatch	MONDO:0017387	epithelioid sarcoma	semapv:ManualMappingCuration
GARD:10184	skos:exactMatch	MONDO:0008494	cryohydrocytosis	semapv:ManualMappingCuration
GARD:10188	skos:exactMatch	MONDO:0010391	angioma serpiginosum, X-linked	semapv:ManualMappingCuration
GARD:10189	skos:exactMatch	MONDO:0007115	angioma serpiginosum, autosomal dominant	semapv:ManualMappingCuration
GARD:1019	skos:exactMatch	MONDO:0009242	brittle cornea syndrome	semapv:ManualMappingCuration
GARD:10190	skos:exactMatch	MONDO:0011818	isolated focal cortical dysplasia type II	semapv:ManualMappingCuration
GARD:10193	skos:exactMatch	MONDO:0019475	subcutaneous panniculitis-like T-cell lymphoma	semapv:ManualMappingCuration
GARD:10199	skos:exactMatch	MONDO:0010698	optic atrophy 2	semapv:ManualMappingCuration
GARD:102	skos:exactMatch	MONDO:0000179	Neu-Laxova syndrome	semapv:ManualMappingCuration
GARD:10200	skos:exactMatch	MONDO:0009786	optic atrophy 6	semapv:ManualMappingCuration
GARD:10201	skos:exactMatch	MONDO:0012543	optic atrophy 5	semapv:ManualMappingCuration
GARD:10202	skos:exactMatch	MONDO:0010886	2q37 microdeletion syndrome	semapv:ManualMappingCuration
GARD:10203	skos:exactMatch	MONDO:0008133	optic atrophy 3	semapv:ManualMappingCuration
GARD:10204	skos:exactMatch	MONDO:0014434	Bardet-Biedl syndrome 5	semapv:ManualMappingCuration
GARD:10205	skos:exactMatch	MONDO:0011523	Bardet-Biedl syndrome 6	semapv:ManualMappingCuration
GARD:10206	skos:exactMatch	MONDO:0014435	Bardet-Biedl syndrome 7	semapv:ManualMappingCuration
GARD:10207	skos:exactMatch	MONDO:0014436	Bardet-Biedl syndrome 8	semapv:ManualMappingCuration
GARD:10208	skos:exactMatch	MONDO:0014437	Bardet-Biedl syndrome 9	semapv:ManualMappingCuration
GARD:10209	skos:exactMatch	MONDO:0014438	Bardet-Biedl syndrome 10	semapv:ManualMappingCuration
GARD:10210	skos:exactMatch	MONDO:0014439	Bardet-Biedl syndrome 11	semapv:ManualMappingCuration
GARD:10211	skos:exactMatch	MONDO:0014440	Bardet-Biedl syndrome 12	semapv:ManualMappingCuration
GARD:10212	skos:exactMatch	MONDO:0010020	congenital generalized lipodystrophy type 2	semapv:ManualMappingCuration
GARD:10213	skos:exactMatch	MONDO:0035525	blepharophimosis-ptosis-epicanthus inversus syndrome type 2	semapv:ManualMappingCuration
GARD:10214	skos:exactMatch	MONDO:0011601	neonatal intrahepatic cholestasis due to citrin deficiency	semapv:ManualMappingCuration
GARD:10215	skos:exactMatch	MONDO:0016603	citrullinemia type II	semapv:ManualMappingCuration
GARD:10216	skos:exactMatch	MONDO:0011504	NDE1-related microhydranencephaly	semapv:ManualMappingCuration
GARD:10220	skos:exactMatch	MONDO:0012206	Czech dysplasia, metatarsal type	semapv:ManualMappingCuration
GARD:10221	skos:exactMatch	MONDO:0007669	renal cysts and diabetes syndrome	semapv:ManualMappingCuration
GARD:10223	skos:exactMatch	MONDO:0012648	isobutyryl-CoA dehydrogenase deficiency	semapv:ManualMappingCuration
GARD:10224	skos:exactMatch	MONDO:0019136	Zygomycosis	semapv:ManualMappingCuration
GARD:10225	skos:exactMatch	MONDO:0008082	multiple endocrine neoplasia type 2B	semapv:ManualMappingCuration
GARD:10226	skos:exactMatch	MONDO:0012637	COG1-congenital disorder of glycosylation	semapv:ManualMappingCuration
GARD:10229	skos:exactMatch	MONDO:0012215	myofibrillar myopathy 3	semapv:ManualMappingCuration
GARD:10230	skos:exactMatch	MONDO:0021569	Emery-Dreifuss muscular dystrophy 2, autosomal dominant	semapv:ManualMappingCuration
GARD:10237	skos:exactMatch	MONDO:0011841	biotin-responsive basal ganglia disease	semapv:ManualMappingCuration
GARD:10238	skos:exactMatch	MONDO:0013598	myostatin-related muscle hypertrophy	semapv:ManualMappingCuration
GARD:10239	skos:exactMatch	MONDO:0011273	H syndrome	semapv:ManualMappingCuration
GARD:10241	skos:exactMatch	MONDO:0012529	Diamond-Blackfan anemia 3	semapv:ManualMappingCuration
GARD:10244	skos:exactMatch	MONDO:0009527	lipase deficiency, combined	semapv:ManualMappingCuration
GARD:10247	skos:exactMatch	MONDO:0008608	Down syndrome	semapv:ManualMappingCuration
GARD:10248	skos:exactMatch	MONDO:0015878	obsolete rare disease with autism	semapv:ManualMappingCuration
GARD:1025	skos:exactMatch	MONDO:0016523	bronchogenic cyst	semapv:ManualMappingCuration
GARD:10252	skos:exactMatch	MONDO:0010030	Sjogren syndrome	semapv:ManualMappingCuration
GARD:10263	skos:exactMatch	MONDO:0006248	hydatidiform mole	semapv:ManualMappingCuration
GARD:10266	skos:exactMatch	MONDO:0005620	cerebral amyloid angiopathy	semapv:ManualMappingCuration
GARD:10267	skos:exactMatch	MONDO:0009378	hyper-beta-alaninemia	semapv:ManualMappingCuration
GARD:10277	skos:exactMatch	MONDO:0008724	adducted thumbs-arthrogryposis syndrome, Christian type	semapv:ManualMappingCuration
GARD:10280	skos:exactMatch	MONDO:0016520	isolated Klippel-Feil syndrome	semapv:ManualMappingCuration
GARD:10281	skos:exactMatch	MONDO:0008386	Axenfeld-Rieger syndrome type 1	semapv:ManualMappingCuration
GARD:10283	skos:exactMatch	MONDO:0011217	desmosterolosis	semapv:ManualMappingCuration
GARD:10287	skos:exactMatch	MONDO:0007295	childhood epilepsy with centrotemporal spikes	semapv:ManualMappingCuration
GARD:10288	skos:exactMatch	MONDO:0012545	neutral lipid storage myopathy	semapv:ManualMappingCuration
GARD:1029	skos:exactMatch	MONDO:0017195	Bruck syndrome	semapv:ManualMappingCuration
GARD:10290	skos:exactMatch	MONDO:0011501	wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	semapv:ManualMappingCuration
GARD:10291	skos:exactMatch	MONDO:0008097	linear nevus sebaceous syndrome	semapv:ManualMappingCuration
GARD:10294	skos:exactMatch	MONDO:0012784	autosomal recessive ataxia due to ubiquinone deficiency	semapv:ManualMappingCuration
GARD:10295	skos:exactMatch	MONDO:0010408	syndactyly-telecanthus-anogenital and renal malformations syndrome	semapv:ManualMappingCuration
GARD:10296	skos:exactMatch	MONDO:0012774	chromosome 15q13.3 microdeletion syndrome	semapv:ManualMappingCuration
GARD:10297	skos:exactMatch	MONDO:0009274	ghosal hematodiaphyseal dysplasia	semapv:ManualMappingCuration
GARD:10299	skos:exactMatch	MONDO:0018923	22q11.2 deletion syndrome	semapv:ManualMappingCuration
GARD:1030	skos:exactMatch	MONDO:0015263	Brugada syndrome	semapv:ManualMappingCuration
GARD:10300	skos:exactMatch	MONDO:0012739	microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome	semapv:ManualMappingCuration
GARD:10301	skos:exactMatch	MONDO:0012733	autosomal recessive bestrophinopathy	semapv:ManualMappingCuration
GARD:10302	skos:exactMatch	MONDO:0012734	SERKAL syndrome	semapv:ManualMappingCuration
GARD:10303	skos:exactMatch	MONDO:0015311	autism-facial port-wine stain syndrome	semapv:ManualMappingCuration
GARD:10304	skos:exactMatch	MONDO:0016659	8p23.1 duplication syndrome	semapv:ManualMappingCuration
GARD:10306	skos:exactMatch	MONDO:0010356	nephrogenic syndrome of inappropriate antidiuresis	semapv:ManualMappingCuration
GARD:10307	skos:exactMatch	MONDO:0015286	congenital disorder of glycosylation	semapv:ManualMappingCuration
GARD:10311	skos:exactMatch	MONDO:0011888	immunodeficiency 67	semapv:ManualMappingCuration
GARD:10312	skos:exactMatch	MONDO:0008407	neurogenic scapuloperoneal syndrome, Kaeser type	semapv:ManualMappingCuration
GARD:10313	skos:exactMatch	MONDO:0008409	MYH7-related late-onset scapuloperoneal muscular dystrophy	semapv:ManualMappingCuration
GARD:10314	skos:exactMatch	MONDO:0008408	scapuloperoneal spinal muscular atrophy, autosomal dominant	semapv:ManualMappingCuration
GARD:10316	skos:exactMatch	MONDO:0009712	congenital multicore myopathy with external ophthalmoplegia	semapv:ManualMappingCuration
GARD:10317	skos:exactMatch	MONDO:0011246	megaconial type congenital muscular dystrophy	semapv:ManualMappingCuration
GARD:10319	skos:exactMatch	MONDO:0008312	autosomal dominant prognathism	semapv:ManualMappingCuration
GARD:10320	skos:exactMatch	MONDO:0012044	corneal dystrophy, lattice type 3A	semapv:ManualMappingCuration
GARD:10321	skos:exactMatch	MONDO:0009610	3-methylglutaconic aciduria type 1	semapv:ManualMappingCuration
GARD:10322	skos:exactMatch	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency	semapv:ManualMappingCuration
GARD:10323	skos:exactMatch	MONDO:0012996	AGAT deficiency	semapv:ManualMappingCuration
GARD:10324	skos:exactMatch	MONDO:0019258	mild phenylketonuria	semapv:ManualMappingCuration
GARD:10327	skos:exactMatch	MONDO:0014464	progressive encephalopathy with leukodystrophy due to DECR deficiency	semapv:ManualMappingCuration
GARD:1033	skos:exactMatch	MONDO:0010421	Bruton-type agammaglobulinemia	semapv:ManualMappingCuration
GARD:10332	skos:exactMatch	MONDO:0010162	tyrosinemia type III	semapv:ManualMappingCuration
GARD:10333	skos:exactMatch	MONDO:0016668	sickle cell-beta-thalassemia disease syndrome	semapv:ManualMappingCuration
GARD:10335	skos:exactMatch	MONDO:0001586	mucopolysaccharidosis type 1	semapv:ManualMappingCuration
GARD:10339	skos:exactMatch	MONDO:0011086	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive	semapv:ManualMappingCuration
GARD:10341	skos:exactMatch	MONDO:0019375	megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome	semapv:ManualMappingCuration
GARD:10342	skos:exactMatch	MONDO:0009611	3-methylglutaconic aciduria type 4	semapv:ManualMappingCuration
GARD:10346	skos:exactMatch	MONDO:0015046	gamma-heavy chain disease	semapv:ManualMappingCuration
GARD:10351	skos:exactMatch	MONDO:0008457	spinocerebellar ataxia type 6	semapv:ManualMappingCuration
GARD:10352	skos:exactMatch	MONDO:0011071	hereditary thrombocytopenia and hematologic cancer predisposition syndrome	semapv:ManualMappingCuration
GARD:10353	skos:exactMatch	MONDO:0019142	inherited porphyria	semapv:ManualMappingCuration
GARD:10354	skos:exactMatch	MONDO:0044649	omphalocele-diaphragmatic hernia-cardiovascular anomalies-radial ray defect syndrome	semapv:ManualMappingCuration
GARD:10355	skos:exactMatch	MONDO:0007626	familial congenital palsy of trochlear nerve	semapv:ManualMappingCuration
GARD:10358	skos:exactMatch	MONDO:0012856	Birk-Barel syndrome	semapv:ManualMappingCuration
GARD:10359	skos:exactMatch	MONDO:0008193	paralysis agitans, juvenile, of Hunt	semapv:ManualMappingCuration
GARD:10360	skos:exactMatch	MONDO:0012761	chromosome 3q29 microduplication syndrome	semapv:ManualMappingCuration
GARD:10361	skos:exactMatch	MONDO:0012742	Brugada syndrome 3	semapv:ManualMappingCuration
GARD:10362	skos:exactMatch	MONDO:0012743	Brugada syndrome 4	semapv:ManualMappingCuration
GARD:10363	skos:exactMatch	MONDO:0008060	nonsyndromic congenital nail disorder 1	semapv:ManualMappingCuration
GARD:10364	skos:exactMatch	MONDO:0012871	Jervell and Lange-Nielsen syndrome 2	semapv:ManualMappingCuration
GARD:10365	skos:exactMatch	MONDO:0012994	dopa-responsive dystonia due to sepiapterin reductase deficiency	semapv:ManualMappingCuration
GARD:10366	skos:exactMatch	MONDO:0010854	Toriello-Lacassie-Droste syndrome	semapv:ManualMappingCuration
GARD:10367	skos:exactMatch	MONDO:0012008	Lelis syndrome	semapv:ManualMappingCuration
GARD:1037	skos:exactMatch	MONDO:0007188	primary basilar invagination	semapv:ManualMappingCuration
GARD:10372	skos:exactMatch	MONDO:0012803	diarrhea-vomiting due to trehalase deficiency	semapv:ManualMappingCuration
GARD:10373	skos:exactMatch	MONDO:0012800	trichoepithelioma, multiple familial, 2	semapv:ManualMappingCuration
GARD:10376	skos:exactMatch	MONDO:0010818	retinitis pigmentosa 12	semapv:ManualMappingCuration
GARD:10377	skos:exactMatch	MONDO:0000910	retinitis pigmentosa 6	semapv:ManualMappingCuration
GARD:10378	skos:exactMatch	MONDO:0012813	retinitis pigmentosa 29	semapv:ManualMappingCuration
GARD:10379	skos:exactMatch	MONDO:0012796	retinitis pigmentosa 41	semapv:ManualMappingCuration
GARD:1038	skos:exactMatch	MONDO:0010540	bullous dystrophy, macular type	semapv:ManualMappingCuration
GARD:10380	skos:exactMatch	MONDO:0010723	retinitis pigmentosa 2	semapv:ManualMappingCuration
GARD:10381	skos:exactMatch	MONDO:0010227	retinitis pigmentosa 3	semapv:ManualMappingCuration
GARD:10382	skos:exactMatch	MONDO:0008378	retinitis pigmentosa 9	semapv:ManualMappingCuration
GARD:10383	skos:exactMatch	MONDO:0010828	retinitis pigmentosa 11	semapv:ManualMappingCuration
GARD:10384	skos:exactMatch	MONDO:0011272	retinitis pigmentosa 25	semapv:ManualMappingCuration
GARD:10385	skos:exactMatch	MONDO:0010827	retinitis pigmentosa 14	semapv:ManualMappingCuration
GARD:10386	skos:exactMatch	MONDO:0011974	retinitis pigmentosa 7	semapv:ManualMappingCuration
GARD:10387	skos:exactMatch	MONDO:0010945	retinitis pigmentosa 17	semapv:ManualMappingCuration
GARD:10388	skos:exactMatch	MONDO:0010806	retinitis pigmentosa 13	semapv:ManualMappingCuration
GARD:10389	skos:exactMatch	MONDO:0010259	retinitis pigmentosa 24	semapv:ManualMappingCuration
GARD:1039	skos:exactMatch	MONDO:0007239	epidermolytic ichthyosis	semapv:ManualMappingCuration
GARD:10390	skos:exactMatch	MONDO:0010374	retinitis pigmentosa 34	semapv:ManualMappingCuration
GARD:10391	skos:exactMatch	MONDO:0010320	retinitis pigmentosa 23	semapv:ManualMappingCuration
GARD:10392	skos:exactMatch	MONDO:0011075	retinitis pigmentosa 18	semapv:ManualMappingCuration
GARD:10393	skos:exactMatch	MONDO:0011259	retinitis pigmentosa 22	semapv:ManualMappingCuration
GARD:10394	skos:exactMatch	MONDO:0011630	retinitis pigmentosa 28	semapv:ManualMappingCuration
GARD:10395	skos:exactMatch	MONDO:0012363	retinitis pigmentosa 32	semapv:ManualMappingCuration
GARD:10396	skos:exactMatch	MONDO:0012367	retinitis pigmentosa 31	semapv:ManualMappingCuration
GARD:10397	skos:exactMatch	MONDO:0012024	retinitis pigmentosa 26	semapv:ManualMappingCuration
GARD:10398	skos:exactMatch	MONDO:0011137	retinitis pigmentosa 19	semapv:ManualMappingCuration
GARD:104	skos:exactMatch	MONDO:0000463	Ochoa syndrome	semapv:ManualMappingCuration
GARD:10400	skos:exactMatch	MONDO:0012477	retinitis pigmentosa 33	semapv:ManualMappingCuration
GARD:10401	skos:exactMatch	MONDO:0011935	retinitis pigmentosa 30	semapv:ManualMappingCuration
GARD:10402	skos:exactMatch	MONDO:0012463	retinitis pigmentosa 35	semapv:ManualMappingCuration
GARD:10403	skos:exactMatch	MONDO:0012523	retinitis pigmentosa 36	semapv:ManualMappingCuration
GARD:10404	skos:exactMatch	MONDO:0013425	retinitis pigmentosa 20	semapv:ManualMappingCuration
GARD:10405	skos:exactMatch	MONDO:0013395	retinitis pigmentosa 4	semapv:ManualMappingCuration
GARD:10407	skos:exactMatch	MONDO:0017408	rapid-onset childhood obesity-hypothalamic dysfunction-hypoventilation-autonomic dysregulation syndrome	semapv:ManualMappingCuration
GARD:10411	skos:exactMatch	MONDO:0003795	ovarian small cell carcinoma	semapv:ManualMappingCuration
GARD:10413	skos:exactMatch	MONDO:0004691	autosomal dominant polycystic kidney disease	semapv:ManualMappingCuration
GARD:10414	skos:exactMatch	MONDO:0018017	goblet cell carcinoma	semapv:ManualMappingCuration
GARD:10416	skos:exactMatch	MONDO:0018328	homozygous familial hypercholesterolemia	semapv:ManualMappingCuration
