# creator_id: 0000-0002-2906-7319
# curie_map:
#   GARD: http://purl.obolibrary.org/obo/GARD_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: http://w3id.org/sssom/license/unspecified
subject_id	predicate_id	object_id	object_label	proxy_id	mondo_predicate_id
GARD:10401	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10402	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10403	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10404	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10405	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10432	skos:broadMatch	MONDO:0019171	familial long QT syndrome	Orphanet:101016	skos:exactMatch
GARD:10433	skos:broadMatch	MONDO:0019171	familial long QT syndrome	Orphanet:101016	skos:exactMatch
GARD:10434	skos:broadMatch	MONDO:0019171	familial long QT syndrome	Orphanet:101016	skos:exactMatch
GARD:10435	skos:broadMatch	MONDO:0019171	familial long QT syndrome	Orphanet:101016	skos:exactMatch
GARD:10436	skos:broadMatch	MONDO:0019171	familial long QT syndrome	Orphanet:101016	skos:exactMatch
GARD:10437	skos:broadMatch	MONDO:0019171	familial long QT syndrome	Orphanet:101016	skos:exactMatch
GARD:10487	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:10488	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:10489	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:10490	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:10496	skos:broadMatch	MONDO:0004976	amyotrophic lateral sclerosis	Orphanet:803	skos:exactMatch
GARD:10498	skos:broadMatch	MONDO:0004976	amyotrophic lateral sclerosis	Orphanet:803	skos:exactMatch
GARD:10499	skos:broadMatch	MONDO:0004976	amyotrophic lateral sclerosis	Orphanet:803	skos:exactMatch
GARD:10500	skos:broadMatch	MONDO:0004976	amyotrophic lateral sclerosis	Orphanet:803	skos:exactMatch
GARD:10501	skos:broadMatch	MONDO:0004976	amyotrophic lateral sclerosis	Orphanet:803	skos:exactMatch
GARD:10511	skos:broadMatch	MONDO:0007640	Sorsby fundus dystrophy	Orphanet:59181	skos:exactMatch
GARD:10517	skos:broadMatch	MONDO:0019187	Axenfeld-Rieger syndrome	Orphanet:782	skos:exactMatch
GARD:10544	skos:broadMatch	MONDO:0017366	hereditary pheochromocytoma-paraganglioma	Orphanet:29072	skos:exactMatch
GARD:10545	skos:broadMatch	MONDO:0017366	hereditary pheochromocytoma-paraganglioma	Orphanet:29072	skos:exactMatch
GARD:10546	skos:broadMatch	MONDO:0017366	hereditary pheochromocytoma-paraganglioma	Orphanet:29072	skos:exactMatch
GARD:10570	skos:broadMatch	MONDO:0009901	Bartsocas-Papas syndrome 1	Orphanet:1234	skos:exactMatch
GARD:10586	skos:broadMatch	MONDO:0018954	Loeys-Dietz syndrome	Orphanet:60030	skos:exactMatch
GARD:10586	skos:broadMatch	MONDO:0019625	familial thoracic aortic aneurysm and aortic dissection	Orphanet:91387	skos:exactMatch
GARD:10588	skos:broadMatch	MONDO:0019625	familial thoracic aortic aneurysm and aortic dissection	Orphanet:91387	skos:exactMatch
GARD:10601	skos:broadMatch	MONDO:0013099	combined pituitary hormone deficiencies, genetic form	Orphanet:95494	skos:exactMatch
GARD:10615	skos:broadMatch	MONDO:0019180	hereditary hemorrhagic telangiectasia	Orphanet:774	skos:exactMatch
GARD:10619	skos:broadMatch	MONDO:0008147	osteogenesis imperfecta type 2	Orphanet:216804	skos:exactMatch
GARD:10619	skos:broadMatch	MONDO:0009804	osteogenesis imperfecta type 3	Orphanet:216812	skos:exactMatch
GARD:10619	skos:broadMatch	MONDO:0008148	osteogenesis imperfecta type 4	Orphanet:216820	skos:exactMatch
GARD:10623	skos:broadMatch	MONDO:0007340	cleidocranial dysplasia 1	Orphanet:1452	skos:exactMatch
GARD:10625	skos:broadMatch	MONDO:0015700	immunodeficiency due to a late component of complement deficiency	Orphanet:169150	skos:exactMatch
GARD:10626	skos:broadMatch	MONDO:0015700	immunodeficiency due to a late component of complement deficiency	Orphanet:169150	skos:exactMatch
GARD:10648	skos:broadMatch	MONDO:0018852	achromatopsia	Orphanet:49382	skos:exactMatch
GARD:10650	skos:broadMatch	MONDO:0015993	cone-rod dystrophy	Orphanet:1872	skos:exactMatch
GARD:10651	skos:broadMatch	MONDO:0015993	cone-rod dystrophy	Orphanet:1872	skos:exactMatch
GARD:10652	skos:broadMatch	MONDO:0015993	cone-rod dystrophy	Orphanet:1872	skos:exactMatch
GARD:10653	skos:broadMatch	MONDO:0015993	cone-rod dystrophy	Orphanet:1872	skos:exactMatch
GARD:10654	skos:broadMatch	MONDO:0015993	cone-rod dystrophy	Orphanet:1872	skos:exactMatch
GARD:10655	skos:broadMatch	MONDO:0015993	cone-rod dystrophy	Orphanet:1872	skos:exactMatch
GARD:10656	skos:broadMatch	MONDO:0015993	cone-rod dystrophy	Orphanet:1872	skos:exactMatch
GARD:10657	skos:broadMatch	MONDO:0018911	maturity-onset diabetes of the young	Orphanet:552	skos:exactMatch
GARD:10658	skos:broadMatch	MONDO:0018911	maturity-onset diabetes of the young	Orphanet:552	skos:exactMatch
GARD:10659	skos:broadMatch	MONDO:0018911	maturity-onset diabetes of the young	Orphanet:552	skos:exactMatch
GARD:10660	skos:broadMatch	MONDO:0018911	maturity-onset diabetes of the young	Orphanet:552	skos:exactMatch
GARD:10661	skos:broadMatch	MONDO:0018911	maturity-onset diabetes of the young	Orphanet:552	skos:exactMatch
GARD:10662	skos:broadMatch	MONDO:0018911	maturity-onset diabetes of the young	Orphanet:552	skos:exactMatch
GARD:10663	skos:broadMatch	MONDO:0018911	maturity-onset diabetes of the young	Orphanet:552	skos:exactMatch
GARD:10688	skos:broadMatch	MONDO:0024457	neurodegeneration with brain iron accumulation 2A	Orphanet:35069	skos:exactMatch
GARD:10691	skos:broadMatch	MONDO:0007473	Duane retraction syndrome	Orphanet:233	skos:exactMatch
GARD:10698	skos:broadMatch	MONDO:0018997	Noonan syndrome	Orphanet:648	skos:exactMatch
GARD:10699	skos:broadMatch	MONDO:0018997	Noonan syndrome	Orphanet:648	skos:exactMatch
GARD:10700	skos:broadMatch	MONDO:0018997	Noonan syndrome	Orphanet:648	skos:exactMatch
GARD:10701	skos:broadMatch	MONDO:0018997	Noonan syndrome	Orphanet:648	skos:exactMatch
GARD:1071	skos:broadMatch	MONDO:0007251	campomelic dysplasia	Orphanet:140	skos:exactMatch
GARD:10726	skos:broadMatch	MONDO:0010180	autosomal recessive spondylocostal dysostosis	Orphanet:2311	skos:exactMatch
GARD:10763	skos:broadMatch	MONDO:0007473	Duane retraction syndrome	Orphanet:233	skos:exactMatch
GARD:10772	skos:broadMatch	MONDO:0018555	hypogonadotropic hypogonadism	Orphanet:432	skos:exactMatch
GARD:10772	skos:broadMatch	MONDO:0018800	Kallmann syndrome	Orphanet:478	skos:exactMatch
GARD:10773	skos:broadMatch	MONDO:0018555	hypogonadotropic hypogonadism	Orphanet:432	skos:exactMatch
GARD:10773	skos:broadMatch	MONDO:0018800	Kallmann syndrome	Orphanet:478	skos:exactMatch
GARD:10774	skos:broadMatch	MONDO:0018555	hypogonadotropic hypogonadism	Orphanet:432	skos:exactMatch
GARD:10774	skos:broadMatch	MONDO:0018800	Kallmann syndrome	Orphanet:478	skos:exactMatch
GARD:10880	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:10881	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:10882	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:10883	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:10884	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:10885	skos:broadMatch	MONDO:0018998	Leber congenital amaurosis	Orphanet:65	skos:exactMatch
GARD:1093	skos:broadMatch	MONDO:0019490	progressive familial heart block	Orphanet:871	skos:exactMatch
GARD:10933	skos:broadMatch	MONDO:0100062	developmental and epileptic encephalopathy	Orphanet:1934	skos:exactMatch
GARD:10937	skos:broadMatch	MONDO:0018883	Berardinelli-Seip congenital lipodystrophy	Orphanet:528	skos:exactMatch
GARD:10974	skos:broadMatch	MONDO:0018925	familial or sporadic hemiplegic migraine	Orphanet:569	skos:exactMatch
GARD:1104	skos:broadMatch	MONDO:0015470	familial isolated dilated cardiomyopathy	Orphanet:154	skos:exactMatch
GARD:1144	skos:broadMatch	MONDO:0015300	cataract - microcornea syndrome	Orphanet:1377	skos:exactMatch
GARD:12351	skos:broadMatch	MONDO:0003582	hereditary breast ovarian cancer syndrome	Orphanet:145	skos:exactMatch
GARD:12352	skos:broadMatch	MONDO:0003582	hereditary breast ovarian cancer syndrome	Orphanet:145	skos:exactMatch
GARD:12356	skos:broadMatch	MONDO:0019625	familial thoracic aortic aneurysm and aortic dissection	Orphanet:91387	skos:exactMatch
GARD:12391	skos:broadMatch	MONDO:0018614	undetermined early-onset epileptic encephalopathy	Orphanet:442835	skos:exactMatch
GARD:12404	skos:broadMatch	MONDO:0009279	triple-A syndrome	Orphanet:869	skos:exactMatch
GARD:12558	skos:broadMatch	MONDO:0015802	autosomal dominant non-syndromic intellectual disability	Orphanet:178469	skos:exactMatch
GARD:12645	skos:broadMatch	MONDO:0012656	lethal congenital contracture syndrome 3	Orphanet:137783	skos:exactMatch
GARD:12799	skos:broadMatch	MONDO:0015140	early-onset autosomal dominant Alzheimer disease	Orphanet:1020	skos:exactMatch
GARD:12807	skos:broadMatch	MONDO:0010180	autosomal recessive spondylocostal dysostosis	Orphanet:2311	skos:exactMatch
GARD:12832	skos:broadMatch	MONDO:0015470	familial isolated dilated cardiomyopathy	Orphanet:154	skos:exactMatch
GARD:12851	skos:broadMatch	MONDO:0015802	autosomal dominant non-syndromic intellectual disability	Orphanet:178469	skos:exactMatch
GARD:12874	skos:broadMatch	MONDO:0009804	osteogenesis imperfecta type 3	Orphanet:216812	skos:exactMatch
GARD:12875	skos:broadMatch	MONDO:0009804	osteogenesis imperfecta type 3	Orphanet:216812	skos:exactMatch
GARD:12875	skos:broadMatch	MONDO:0008148	osteogenesis imperfecta type 4	Orphanet:216820	skos:exactMatch
GARD:12900	skos:broadMatch	MONDO:0100062	developmental and epileptic encephalopathy	Orphanet:1934	skos:exactMatch
GARD:12900	skos:broadMatch	MONDO:0011794	obsolete Dravet syndrome	Orphanet:33069	skos:exactMatch
GARD:12901	skos:broadMatch	MONDO:0018614	undetermined early-onset epileptic encephalopathy	Orphanet:442835	skos:exactMatch
GARD:12949	skos:broadMatch	MONDO:0018097	West syndrome	Orphanet:3451	skos:exactMatch
GARD:12958	skos:broadMatch	MONDO:0015699	immunodeficiency due to a classical component pathway complement deficiency	Orphanet:169147	skos:exactMatch
GARD:13019	skos:broadMatch	MONDO:0016815	Leigh syndrome with leukodystrophy	Orphanet:255241	skos:exactMatch
GARD:13041	skos:broadMatch	MONDO:0019145	hereditary thrombophilia due to congenital protein C deficiency	Orphanet:745	skos:exactMatch
GARD:13085	skos:broadMatch	MONDO:0018614	undetermined early-onset epileptic encephalopathy	Orphanet:442835	skos:exactMatch
GARD:13112	skos:broadMatch	MONDO:0018996	spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2	Orphanet:64753	skos:exactMatch
GARD:13113	skos:broadMatch	MONDO:0000023	infantile liver failure	Orphanet:464724	skos:exactMatch
GARD:13136	skos:broadMatch	MONDO:0015802	autosomal dominant non-syndromic intellectual disability	Orphanet:178469	skos:exactMatch
GARD:13136	skos:broadMatch	MONDO:0018574	intellectual disability-expressive aphasia-facial dysmorphism syndrome	Orphanet:436151	skos:exactMatch
GARD:13174	skos:broadMatch	MONDO:0008003	autosomal dominant progressive external ophthalmoplegia	Orphanet:254892	skos:exactMatch
GARD:13179	skos:broadMatch	MONDO:0015802	autosomal dominant non-syndromic intellectual disability	Orphanet:178469	skos:exactMatch
GARD:13197	skos:broadMatch	MONDO:0016025	myoclonic-astastic epilepsy	Orphanet:1942	skos:exactMatch
GARD:13197	skos:broadMatch	MONDO:0016532	Lennox-Gastaut syndrome	Orphanet:2382	skos:exactMatch
GARD:13235	skos:broadMatch	MONDO:0011010	Matthew-Wood syndrome	Orphanet:2470	skos:exactMatch
GARD:13318	skos:broadMatch	MONDO:0017385	malignant migrating partial seizures of infancy	Orphanet:293181	skos:exactMatch
GARD:13318	skos:broadMatch	MONDO:0018097	West syndrome	Orphanet:3451	skos:exactMatch
GARD:13376	skos:broadMatch	MONDO:0015627	multiple epiphyseal dysplasia due to collagen 9 anomaly	Orphanet:166002	skos:exactMatch
GARD:13378	skos:broadMatch	MONDO:0100062	developmental and epileptic encephalopathy	Orphanet:1934	skos:exactMatch
GARD:13379	skos:broadMatch	MONDO:0018574	intellectual disability-expressive aphasia-facial dysmorphism syndrome	Orphanet:436151	skos:exactMatch
GARD:13389	skos:broadMatch	MONDO:0018883	Berardinelli-Seip congenital lipodystrophy	Orphanet:528	skos:exactMatch
GARD:13524	skos:broadMatch	MONDO:0015802	autosomal dominant non-syndromic intellectual disability	Orphanet:178469	skos:exactMatch
GARD:13524	skos:broadMatch	MONDO:0018614	undetermined early-onset epileptic encephalopathy	Orphanet:442835	skos:exactMatch
GARD:13539	skos:broadMatch	MONDO:0015802	autosomal dominant non-syndromic intellectual disability	Orphanet:178469	skos:exactMatch
GARD:1360	skos:broadMatch	MONDO:0016575	primary ciliary dyskinesia	Orphanet:244	skos:exactMatch
GARD:1361	skos:broadMatch	MONDO:0016575	primary ciliary dyskinesia	Orphanet:244	skos:exactMatch
GARD:13676	skos:broadMatch	MONDO:0018614	undetermined early-onset epileptic encephalopathy	Orphanet:442835	skos:exactMatch
GARD:13686	skos:broadMatch	MONDO:0015802	autosomal dominant non-syndromic intellectual disability	Orphanet:178469	skos:exactMatch
GARD:13737	skos:broadMatch	MONDO:0017241	AP4-related intellectual disability and spastic paraplegia	Orphanet:280763	skos:exactMatch
GARD:13743	skos:broadMatch	MONDO:0018298	multicentric osteolysis-nodulosis-arthropathy spectrum	Orphanet:371428	skos:exactMatch
GARD:1404	skos:broadMatch	MONDO:0008547	thanatophoric dysplasia type 2	Orphanet:93274	skos:exactMatch
GARD:1452	skos:broadMatch	MONDO:0015699	immunodeficiency due to a classical component pathway complement deficiency	Orphanet:169147	skos:exactMatch
GARD:1462	skos:broadMatch	MONDO:0000455	cone dystrophy	Orphanet:1871	skos:exactMatch
GARD:1470	skos:broadMatch	MONDO:0019080	alopecia totalis	Orphanet:700	skos:exactMatch
GARD:15011	skos:broadMatch	MONDO:0010225	Dent disease type 1	Orphanet:93622	skos:exactMatch
GARD:15029	skos:broadMatch	MONDO:0021005	faciodigitogenital syndrome	Orphanet:915	skos:exactMatch
GARD:15030	skos:broadMatch	MONDO:0017240	acrodysostosis with multiple hormone resistance	Orphanet:280651	skos:exactMatch
GARD:15030	skos:broadMatch	MONDO:0019797	acrodysostosis	Orphanet:950	skos:exactMatch
GARD:15031	skos:broadMatch	MONDO:0007057	acroosteolysis dominant type	Orphanet:955	skos:exactMatch
GARD:15032	skos:broadMatch	MONDO:0015746	male infertility due to globozoospermia	Orphanet:171709	skos:exactMatch
GARD:15033	skos:broadMatch	MONDO:0100480	autoimmune primary adrenal insufficiency	Orphanet:85138	skos:exactMatch
GARD:15034	skos:broadMatch	MONDO:0015243	allergic bronchopulmonary aspergillosis	Orphanet:1164	skos:exactMatch
GARD:15035	skos:broadMatch	MONDO:0019080	alopecia totalis	Orphanet:700	skos:exactMatch
GARD:15036	skos:broadMatch	MONDO:0016241	alternating hemiplegia of childhood	Orphanet:2131	skos:exactMatch
GARD:15037	skos:broadMatch	MONDO:0015047	amelogenesis imperfecta type 1	Orphanet:100031	skos:exactMatch
GARD:15038	skos:broadMatch	MONDO:0015047	amelogenesis imperfecta type 1	Orphanet:100031	skos:exactMatch
GARD:15039	skos:broadMatch	MONDO:0015253	Diamond-Blackfan anemia	Orphanet:124	skos:exactMatch
GARD:15040	skos:broadMatch	MONDO:0019577	anonychia-onychodystrophy syndrome	Orphanet:90390	skos:exactMatch
GARD:15041	skos:broadMatch	MONDO:0018393	male infertility with azoospermia or oligozoospermia due to single gene mutation	Orphanet:399805	skos:exactMatch
GARD:15042	skos:broadMatch	MONDO:0004948	B-cell chronic lymphocytic leukemia	Orphanet:67038	skos:exactMatch
GARD:15043	skos:broadMatch	MONDO:0005388	primary biliary cholangitis	Orphanet:186	skos:exactMatch
GARD:15044	skos:broadMatch	MONDO:0000110	bifid nose	Orphanet:2695	skos:exactMatch
GARD:15045	skos:broadMatch	MONDO:0015855	isolated congenital breast hypoplasia/aplasia	Orphanet:180188	skos:exactMatch
GARD:15046	skos:broadMatch	MONDO:0020374	cerulean cataract	Orphanet:98989	skos:exactMatch
GARD:15047	skos:broadMatch	MONDO:0015300	cataract - microcornea syndrome	Orphanet:1377	skos:exactMatch
GARD:15048	skos:broadMatch	MONDO:0019349	Sotos syndrome	Orphanet:821	skos:exactMatch
GARD:15049	skos:broadMatch	MONDO:0016520	isolated Klippel-Feil syndrome	Orphanet:2345	skos:exactMatch
GARD:15050	skos:broadMatch	MONDO:0018050	tibial aplasia-ectrodactyly syndrome	Orphanet:3329	skos:exactMatch
GARD:15051	skos:broadMatch	MONDO:0018768	familial cold autoinflammatory syndrome	Orphanet:47045	skos:exactMatch
GARD:15052	skos:broadMatch	MONDO:0005835	Lynch syndrome	Orphanet:144	skos:exactMatch
GARD:15053	skos:broadMatch	MONDO:0018878	branchiootic syndrome	Orphanet:52429	skos:exactMatch
GARD:15054	skos:broadMatch	MONDO:0016027	benign neonatal seizures	Orphanet:1949	skos:exactMatch
GARD:15055	skos:broadMatch	MONDO:0019571	autosomal dominant cutis laxa	Orphanet:90348	skos:exactMatch
GARD:15056	skos:broadMatch	MONDO:0015448	mitochondrial complex III deficiency	Orphanet:1460	skos:exactMatch
GARD:15057	skos:broadMatch	MONDO:0014720	autosomal dominant optic atrophy plus syndrome	Orphanet:1215	skos:exactMatch
GARD:15058	skos:broadMatch	MONDO:0016383	nephrogenic diabetes insipidus	Orphanet:223	skos:exactMatch
GARD:15059	skos:broadMatch	MONDO:0015240	digitotalar dysmorphism	Orphanet:1146	skos:exactMatch
GARD:15060	skos:broadMatch	MONDO:0007471	Doyne honeycomb retinal dystrophy	Orphanet:75376	skos:exactMatch
GARD:15061	skos:broadMatch	MONDO:0007492	early-onset generalized limb-onset dystonia	Orphanet:256	skos:exactMatch
GARD:15062	skos:broadMatch	MONDO:0015998	isolated ectopia lentis	Orphanet:1885	skos:exactMatch
GARD:15063	skos:broadMatch	MONDO:0010004	EEC syndrome	Orphanet:1896	skos:exactMatch
GARD:15064	skos:broadMatch	MONDO:0017319	hereditary elliptocytosis	Orphanet:288	skos:exactMatch
GARD:15065	skos:broadMatch	MONDO:0015643	photosensitive epilepsy	Orphanet:166409	skos:exactMatch
GARD:15066	skos:broadMatch	MONDO:0017858	acute erythroid leukemia	Orphanet:318	skos:exactMatch
GARD:15067	skos:broadMatch	MONDO:0019569	Cockayne syndrome type 1	Orphanet:90321	skos:exactMatch
GARD:15067	skos:broadMatch	MONDO:0019570	Cockayne syndrome type 2	Orphanet:90322	skos:exactMatch
